Indicator,Value
max_draw_down,0.1070804709425465081881540530
annualized_returns,-0.8054263663771720226858750918
net_value,0.9778347842713831301232539061
profit,-22.1652157286168698767460939
net_value_up_down_rate,-0.0221652157286168698767460939
quote_up_down_rate,-0.03400659326145096735922113344
position_fee_profit,23.41759009833502603550497039
position_fee_annualized_returns,31.41751002599522232260021068
position_market_time_rate,0.9359455328609143087703614583
sharpe_ratio,-2.659892900346007227341260659159161150455474853515625
sortino_ratio,-2.815520514167283661066676359041593968868255615234375
volatility,0.559992261456810691555574521771632134914398193359375
correlation_with_quote_price,0.90375465782607344866761422963463701307773590087890625
