Indicator,Value
max_draw_down,0.04013366651061098614056295748
annualized_returns,-0.7159336169607463715110211002
net_value,0.9829073905452341567270033528
profit,-17.0926094547658432729966472
net_value_up_down_rate,-0.0170926094547658432729966472
quote_up_down_rate,0.02449395688557040655558000805
position_fee_profit,1.449565914902368089901655071
position_fee_annualized_returns,1.954113504302045228225385634
position_market_time_rate,0.9536111111111110760774067785
sharpe_ratio,-4.8808255057702805146391256130300462245941162109375
sortino_ratio,-4.60647441024225567929306635051034390926361083984375
volatility,0.2488203943071864987501840005279518663883209228515625
correlation_with_quote_price,0.97251423210284482223642044118605554103851318359375
