Indicator,Value
max_draw_down,0.01801157865376538200588435608
annualized_returns,2.895546930116292974034116256
net_value,1.007476367999999777991373417
profit,7.476367999999777991373417
net_value_up_down_rate,0.007476367999999777991373417
quote_up_down_rate,0.02767465665714084063678724360
position_fee_profit,3.310815536660053427649849126
position_fee_annualized_returns,4.350525463986221322194197761
position_market_time_rate,0.8603681833970128201016791536
sharpe_ratio,5.30928994702434220442910373094491660594940185546875
sortino_ratio,12.370031813951623433922577532939612865447998046875
volatility,0.264008387758901730268945584612083621323108673095703125
correlation_with_quote_price,1
