Indicator,Value
max_draw_down,0.02386228952037030201105609742
annualized_returns,0.989557907189152128838973715
net_value,1.009467998895337438439498369
profit,9.467998895337438439498369
net_value_up_down_rate,0.009467998895337438439498369
quote_up_down_rate,0.09078285635874126579423382597
position_fee_profit,2.426895665247744349669973573
position_fee_annualized_returns,3.266084164750386713134394738
position_market_time_rate,0.9473611111111110982818672710
sharpe_ratio,3.0677591857587831469800221384502947330474853515625
sortino_ratio,5.18062972620768125153745131683535873889923095703125
volatility,0.2377276586809033975811189520754851400852203369140625
correlation_with_quote_price,0.975842298732878976608162702177651226520538330078125
