Indicator,Value
max_draw_down,0.02655207842702045183171763685
annualized_returns,1.711708793711839467681486624
net_value,1.013759264838240967163673411
profit,13.759264838240967163673411
net_value_up_down_rate,0.013759264838240967163673411
quote_up_down_rate,0.09078285635874126579423380980
position_fee_profit,3.567408635854927823212898092
position_fee_annualized_returns,4.650325255673989968533280304
position_market_time_rate,0.8316666666666666651863693005
sharpe_ratio,6.411182019751350935621303506195545196533203125
sortino_ratio,8.9690739612106966660576290450990200042724609375
volatility,0.16010050340311055006026208502589724957942962646484375
correlation_with_quote_price,0.9574918400374503590910535422153770923614501953125
