Indicator,Value
max_draw_down,0.01913357256952632349798448141
annualized_returns,4.994299774942394235304917883
net_value,1.024835005987468569320917442
profit,24.835005987468569320917442
net_value_up_down_rate,0.024835005987468569320917442
quote_up_down_rate,0.09121923495261938432874791580
position_fee_profit,2.906403189489072276443674678
position_fee_annualized_returns,3.906978909188295287828501205
position_market_time_rate,0.9431944444444444464181742660
sharpe_ratio,7.622974737414370594024148886092007160186767578125
sortino_ratio,14.0836392766263482911881510517559945583343505859375
volatility,0.240833115329339875199110565517912618815898895263671875
correlation_with_quote_price,0.97399207022740608152844288269989192485809326171875
